name,brand,price,ratings,specs_score,os,processor,ram_size,ram_type,storage,graphics,screen_size,resoultion,cores,threads,warranty_months
Acer ALG â€ŽAL15G-53 Gaming Laptop (13th Gen Intel Core i7/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 3050 Graphics),Acer,64791,4,63.0,Windows 11 OS,13th Gen Intel Core i7 13620H,16 GB,DDR4,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,12.0
Lenovo LOQ 15ARP9 83JC0046IN Gaming Laptop (AMD Ryzen 7 7435H/ 24GB/ 512GB SSD/ Win11/ 8GB RTX 4060 Graph),Lenovo,92490,"4,65",72.0,Windows 11 OS,7th Gen AMD Ryzen 7 7435HS,4 GB,DDR5,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,15.6 inches,1920 x 1080 pixels,Octa Core, 16 Threads,12.0
Lenovo LOQ 2024 83GS003NIN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX 3050 Graph),Lenovo,68790,"4,65",65.0,Windows 11 OS,12th Gen Intel Core i5 12450HX,16 GB,DDR5,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,12.0
HP Omen 16-wf1096TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),HP,119990,"4,4",79.0,Windows 11 OS,14th Gen Intel Core i7 14650HX,16 GB,DDR5,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,16.1 inches,1920 x 1080 pixels,16 Cores (8P + 8E), 24 Threads,12.0
Asus TUF F17 FX706HF-NY040W Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),Asus,50990,"4,65",65.0,Windows 11 OS,11th Gen Intel Core i5 11400H,16 GB,DDR6,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,17.3 inches,1920 x 1080 pixels,Hexa Core, 12 Threads,12.0
HP Victus 16-s0089AX Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 6GB Graph),HP,67626,"4,1",73.0,Windows 11 OS,7th Gen AMD Ryzen 7 7840HS,16 GB,DDR5,1 TB SSD,6 GB NVIDIA GeForce RTX 3050,16.1 inches,1920 x 1080 pixels,Octa Core, 16 Threads,12.0
Apple MacBook Air 2022 Laptop (Apple M2/ 8GB/ 256GB SSD/ MacOS),Apple,74994,"4,15",50.0,Mac OS,Apple M2,8 GB,DDR4,256 GB SSD,8-Core GPU,13.6 inches,2560 x 1664 pixels,Octa Core (4P + 4E), 12 Threads,12.0
Lenovo Legion 5 15AHP10 83M00073IN Gaming Laptop (AMD Ryzen 7 260/ 16GB/ 1TB SSD/ Win11/ 8GB RTX5050),Lenovo,137490,"4,75",70.0,Windows 11 OS,AMD Ryzen 7 260,16 GB,DDR5,1 TB SSD,8 GB NVIDIA GeForce RTX 5050,15.6 inches,1920 x 1200 pixels,Octa Core, 16 Threads,12.0
HP 255 G10 BJ3S9AT-3 Laptop (AMD Ryzen 3 7330U/ 16GB/ 512GB SSD/ Win11),HP,32490,"4,1",57.0,Windows 11 OS,7th Gen AMD Ryzen 3 7330U,16 GB,DDR4,512 GB SSD,Integrated AMD Radeon Graphics,15.6 inches,1920 x 1080 pixels,Quad Core, 8 Threads,12.0
Dell DC 14250 ODC1425000401RINS1 Laptop (Intel Core 5 120U/ 16GB/ 512GB SSD/Windows 11 Home),Dell,69990,"4,45",52.0,Windows 11 OS,Intel Core 5 120U,16 GB,DDR5,512 GB SSD,Intel UHD,14 inches,1920 x 1080 pixels,10 Cores (2P + 8E), 12 Threads,12.0
Apple MacBook Pro 14 2025 Laptop (Apple M5/ 16GB/ 512GB SSD/ macOS),Apple,164490,"4,15",51.0,Mac OS,Apple M5,16 GB,Standard,512 GB SSD,10-Core GPU,14.2 inches,3024 x 1964 pixels,10 Cores (4P + 6E), 12 Threads,12.0
HP Victus 15-fa2303tx Gaming Laptop (14th Gen Core i5/ 24GB/ 512GB SSD/ Win11/ 6GB RTX3050),HP,81500,4,69.0,Windows 11 OS,14th Gen Intel Core i5 14450HX,4 GB,DDR5,512 GB SSD,6 GB NVIDIA GeForce RTX 3050,15.6 inches,1920 x 1080 pixels,10 Cores (6P + 4E), 16 Threads,12.0
HP Victus 15-fa1082wm Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 6GB RTX4050),HP,79990,"4,55",55.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB,DDR4,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,12.0
HP Probook 440 G11 A6VS9PA Laptop (Intel Core Ultra 5 125H/ 16GB/ 512GB SSD/ Win11),HP,83999,"4,4",52.0,Windows 11 OS,Intel Core Ultra 5 Series 1 125H,16 GB,Standard,512 GB SSD,Intel Graphics,14 inches,1920 x 1080 pixels,14 Cores (4P + 8E + 2LP-E), 18 Threads,12.0
HP ZBook Power G11 A8WN0PT Laptop (Intel Core Ultra 7-155H/ 32GB/ 1TB SSD/ Win11/ RTX 1000 Ada 6GB Graphics),HP,191150,"4,45",60.69506172839506,Windows 11 OS,Intel Core Ultra 7 Series 1 155H,32 GB,DDR5,1 TB SSD,6 GB NVIDIA RTX 1000 Ada,16 inches,1920 x 1200 pixels,16 Cores (6P + 8E + 2LP-E), 22 Threads,12.0
MSI Summit 13 AI Plus Evo A2VMTG Business Laptop (IIntel Core Ultra 7 258V/ 32GB/ 1TB SSD/ Win11),MSI,149990,"4,15",79.0,Windows 11 OS,Intel Core Ultra 7 258V,32 GB,LPDDR5,1 TB SSD,Intel Integrated Arc,13.3 inches,1920 x 1200 pixels,Octa Core (4P + 4E), 8 Threads,12.0
Chuwi CoreBook X i3 Laptop (10th Gen Core i3/ 8GB/ 256GB SSD/ Win 11),Chuwi,19990,"4,15",60.69506172839506,Windows 11 OS,10th Gen Intel Core i3 10100Y,8 GB,DDR3,256 GB SSD,Intel UHD Graphics 615,13.3 inches,1920 x 1080 pixels,Dual Core, 4 Threads,12.0
Acer Nitro V ANV15-52 NH.QZ9SI.002 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 8GB RTX5050),Acer,79990,"4,3",64.0,Windows 11 OS,13th Gen Intel Core i5 13420H,16 GB,DDR4,512 GB SSD,8 GB NVIDIA GeForce RTX 5050,15.6 inches,1920 x 1080 pixels,Octa Core (4P + 4E), 12 Threads,12.0
Lenovo Yoga Pro 7 Aura Edition 83KF001LIN Laptop (Intel Evo Core Ultra 9 285H/ 32GB/ 1TB/ Win11),Lenovo,134990,"4,35",60.69506172839506,Windows 11 OS,Intel Core Ultra 9 285H,32 GB,LPDDR5X,1 TB SSD,Intel Integrated Arc,16 inches,3000 x 1876 pixels,16 Cores (6P + 8E + 2LP-E), 16 Threads,12.0
Asus ROG Strix G16 (2025) G615JHR-S5005WS Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB RTX 5050),Asus,154990,"4,3",60.69506172839506,Windows 11 OS,14th Gen Intel Core i7 14650HX,16 GB,DDR5,1 TB SSD,8 GB NVIDIA GeForce RTX 5050,16 inches,2560 x 1600 pixels,16 Cores (8P + 8E), 24 Threads,12.0
